Date,NVDA,Nasdaq,AMD,META,GOOGL,TSLA,GOOG,MSFT,AMZN,AAPL,INTC,AVGO
2023-01-03,14.3032808303833,10386.98046875,64.0199966430664,124.15485382080078,88.69595336914062,108.0999984741211,89.27713775634766,235.2400360107422,85.81999969482422,123.63252258300781,25.775144577026367,53.236026763916016
2023-01-04,14.736924171447754,10458.759765625,64.66000366210938,126.77252960205078,87.66089630126953,113.63999938964844,88.29180908203125,224.9498748779297,85.13999938964844,124.90769958496094,26.69120979309082,53.886234283447266
2023-01-05,14.253320693969727,10305.240234375,62.33000183105469,126.34453582763672,85.78984832763672,110.33999633789062,86.36094665527344,218.28289794921875,83.12000274658203,123.58308410644531,26.57549285888672,53.38414764404297
2023-01-06,14.846835136413574,10569.2900390625,63.959999084472656,129.41009521484375,86.92440795898438,113.05999755859375,87.7444076538086,220.85540771484375,86.08000183105469,128.13021850585938,27.70370101928711,56.59766387939453
2023-01-09,15.615203857421875,10635.650390625,67.23999786376953,128.8626708984375,87.6011734008789,119.7699966430664,88.38138580322266,223.0057373046875,87.36000061035156,128.65415954589844,28.262981414794922,55.48769760131836
2023-01-10,15.895976066589355,10742.6298828125,68.05000305175781,132.36614990234375,87.99927520751953,118.8499984741211,88.81930541992188,224.7043914794922,89.87000274658203,129.2274627685547,28.388338088989258,55.29917907714844
2023-01-11,15.987898826599121,10931.669921875,69.05999755859375,132.26661682128906,91.08451843261719,123.22000122070312,91.82508087158203,231.49905395507812,95.08999633789062,131.95574951171875,28.783693313598633,55.60792922973633
2023-01-12,16.497482299804688,11001.099609375,70.80000305175781,136.0687255859375,90.69638061523438,123.55999755859375,91.47673797607422,234.18942260742188,95.2699966430664,131.87667846679688,29.20797348022461,55.973426818847656
2023-01-13,16.885162353515625,11079.16015625,71.0,136.33743286132812,91.68167877197266,122.4000015258789,92.36253356933594,234.8963623046875,98.12000274658203,133.21115112304688,29.03440284729004,55.690650939941406
2023-01-17,17.687509536743164,11095.1103515625,71.58999633789062,134.72503662109375,90.85562896728516,131.49000549316406,91.72554779052734,235.99607849121094,96.05000305175781,134.37759399414062,28.54262351989746,55.71372985839844
2023-01-18,17.362773895263672,10957.009765625,70.52999877929688,132.39602661132812,90.68643951416016,128.77999877929688,91.34733581542969,231.53831481933594,95.45999908447266,133.65597534179688,27.780841827392578,55.23762130737305
2023-01-19,16.75127410888672,10852.26953125,67.70999908447266,135.51133728027344,92.60726165771484,127.16999816894531,93.46730041503906,227.7285919189453,93.68000030517578,133.71530151367188,27.404775619506836,54.17285919189453
2023-01-20,17.82439613342285,11140.4296875,70.06999969482422,138.71620178222656,97.55359649658203,133.4199981689453,98.81198120117188,235.868408203125,97.25,136.285400390625,28.176193237304688,54.9000129699707
2023-01-23,19.177288055419922,11364.41015625,76.52999877929688,142.5979461669922,99.315185546875,143.75,100.73287963867188,238.18568420410156,97.5199966430664,139.48817443847656,29.188688278198242,55.943603515625
2023-01-24,19.249223709106445,11334.26953125,74.69999694824219,142.4685516357422,97.23512268066406,143.88999938964844,98.7423095703125,237.6554412841797,96.31999969482422,140.89186096191406,28.8511905670166,56.270633697509766
2023-01-25,19.30718231201172,11313.3603515625,74.91000366210938,140.83624267578125,94.76692199707031,144.42999267578125,96.27400970458984,236.25137329101562,97.18000030517578,140.2295684814453,28.639053344726562,56.33316421508789
2023-01-26,19.78578758239746,11512.41015625,75.16000366210938,146.60903930664062,97.05597686767578,160.27000427246094,98.69255065917969,243.50750732421875,99.22000122070312,142.30543518066406,29.015119552612305,57.573936462402344
2023-01-27,20.348325729370117,11621.7099609375,75.4000015258789,151.0281982421875,98.89718627929688,177.89999389648438,100.23523712158203,243.66461181640625,102.23999786376953,144.25277709960938,27.154062271118164,56.84388732910156
2023-01-30,19.146312713623047,11393.8095703125,72.44999694824219,146.37014770507812,96.47874450683594,166.66000366210938,97.48824310302734,238.31332397460938,100.55000305175781,141.35643005371094,26.95156478881836,55.92630386352539
2023-01-31,19.521005630493164,11584.5498046875,75.1500015258789,148.2711944580078,98.36969757080078,173.22000122070312,99.39920806884766,243.32093811035156,103.12999725341797,142.6316375732422,27.250492095947266,56.26871109008789
2023-02-01,20.92585563659668,11816.3203125,84.63999938964844,152.4017333984375,99.95213317871094,181.41000366210938,100.95185089111328,248.1714630126953,105.1500015258789,143.75851440429688,28.03155517578125,57.97502517700195
2023-02-02,21.691226959228516,12200.8203125,88.30999755859375,187.884521484375,107.22734069824219,188.27000427246094,108.28710174560547,259.8067932128906,112.91000366210938,149.08657836914062,29.111547470092773,58.26549530029297
2023-02-03,21.082725524902344,12006.9501953125,86.08999633789062,185.65501403808594,104.28143310546875,189.97999572753906,104.72398376464844,253.6699981689453,103.38999938964844,152.72425842285156,29.236902236938477,57.481597900390625
2023-02-06,21.071731567382812,11887.4501953125,83.68000030517578,185.18719482421875,102.4103775024414,194.75999450683594,102.98223114013672,252.11862182617188,102.18000030517578,149.98611450195312,28.002225875854492,57.83555221557617
2023-02-07,22.154844284057617,12113.7900390625,85.91000366210938,190.72113037109375,107.12782287597656,196.80999755859375,107.53068542480469,262.713134765625,102.11000061035156,152.87254333496094,28.35359764099121,59.100379943847656
2023-02-08,22.18682098388672,11910.51953125,84.69000244140625,182.5695343017578,98.89718627929688,201.2899932861328,99.5285873413086,261.898193359375,100.05000305175781,150.17393493652344,27.563013076782227,57.8749885559082
2023-02-09,22.31871223449707,11789.580078125,83.20999908447266,177.08538818359375,94.55792999267578,207.32000732421875,95.0099868774414,258.8445129394531,98.23999786376953,149.13600158691406,27.06524085998535,57.653770446777344
2023-02-10,21.247589111328125,11718.1201171875,81.4800033569336,173.33306884765625,94.12001037597656,196.88999938964844,94.41281127929688,258.333984375,97.61000061035156,149.50230407714844,27.133562088012695,57.061275482177734
2023-02-13,21.770160675048828,11891.7900390625,83.12999725341797,178.5883026123047,94.15982055664062,194.63999938964844,94.55215454101562,266.4050598144531,99.54000091552734,152.31398010253906,27.865581512451172,57.81824493408203
2023-02-14,22.952190399169922,11960.150390625,85.94999694824219,178.63807678222656,94.2294921875,209.25,94.50239562988281,267.2396545410156,99.69999694824219,151.67044067382812,27.95342445373535,57.93269729614258
2023-02-15,22.745365142822266,12070.58984375,85.18000030517578,176.32894897460938,96.47874450683594,214.24000549316406,96.64225006103516,265.1036682128906,101.16000366210938,153.77919006347656,28.15839195251465,58.45017623901367
2023-02-16,21.983985900878906,11855.830078125,80.08000183105469,171.631103515625,95.0555419921875,202.0399932861328,95.32847595214844,258.0458679199219,98.1500015258789,152.17535400390625,27.523975372314453,57.762454986572266
2023-02-17,21.370487213134766,11787.26953125,78.5,172.06903076171875,93.90105438232422,208.30999755859375,94.14408111572266,254.0198974609375,97.19999694824219,151.0269317626953,26.948116302490234,57.286338806152344
2023-02-21,20.63808822631836,11492.2998046875,76.7699966430664,171.27279663085938,91.3532485961914,197.3699951171875,91.61607360839844,248.71429443359375,94.58000183105469,146.99755859375,25.435274124145508,55.93495559692383
2023-02-22,20.737009048461914,11507.0703125,76.61000061035156,170.31727600097656,91.21391296386719,200.86000061035156,91.36724853515625,247.57244873046875,95.79000091552734,147.42327880859375,24.859416961669922,55.41844177246094
